id,title,category,brand,price,discountPercentage,rating,stock
1,Essence Mascara Lash Princess,beauty,Essence,9.99,10.48,2.56,99
2,Eyeshadow Palette with Mirror,beauty,Glamour Beauty,19.99,18.19,2.86,34
3,Powder Canister,beauty,Velvet Touch,14.99,9.84,4.64,89
4,Red Lipstick,beauty,Chic Cosmetics,12.99,12.16,4.36,91
5,Red Nail Polish,beauty,Nail Couture,8.99,11.44,4.32,79
6,Calvin Klein CK One,fragrances,Calvin Klein,49.99,1.89,4.37,29
7,Chanel Coco Noir Eau De,fragrances,Chanel,129.99,16.51,4.26,58
8,Dior J'adore,fragrances,Dior,89.99,14.72,3.8,98
9,Dolce Shine Eau de,fragrances,Dolce & Gabbana,69.99,0.62,3.96,4
10,Gucci Bloom Eau de,fragrances,Gucci,79.99,14.39,2.74,91
11,Annibale Colombo Bed,furniture,Annibale Colombo,1899.99,8.57,4.77,88
12,Annibale Colombo Sofa,furniture,Annibale Colombo,2499.99,14.4,3.92,60
13,Bedside Table African Cherry,furniture,Furniture Co.,299.99,19.09,2.87,64
14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,2.01,4.88,26
15,Wooden Bathroom Sink With Mirror,furniture,Bath Trends,799.99,8.8,3.59,7
16,Apple,groceries,,1.99,12.62,4.19,8
17,Beef Steak,groceries,,12.99,9.61,4.47,86
18,Cat Food,groceries,,8.99,9.58,3.13,46
19,Chicken Meat,groceries,,9.99,13.7,3.19,97
20,Cooking Oil,groceries,,4.99,9.33,4.8,10
21,Cucumber,groceries,,1.49,0.16,4.07,84
22,Dog Food,groceries,,10.99,10.27,4.55,71
23,Eggs,groceries,,2.99,11.05,2.53,9
24,Fish Steak,groceries,,14.99,4.23,3.78,74
25,Green Bell Pepper,groceries,,1.29,0.16,3.25,33
26,Green Chili Pepper,groceries,,0.99,1,3.66,3
27,Honey Jar,groceries,,6.99,14.4,3.97,34
28,Ice Cream,groceries,,5.49,8.69,3.39,27
29,Juice,groceries,,3.99,12.06,3.94,50
30,Kiwi,groceries,,2.49,15.22,4.93,99
31,Lemon,groceries,,0.79,9.7,3.53,31
32,Milk,groceries,,3.49,13.74,2.61,27
33,Mulberry,groceries,,4.99,12.87,4.95,99
34,Nescafe Coffee,groceries,,7.99,1.59,4.82,57
35,Potatoes,groceries,,2.29,5.38,4.81,13
36,Protein Powder,groceries,,19.99,7.59,4.18,80
37,Red Onions,groceries,,1.99,9.9,4.2,82
38,Rice,groceries,,5.99,9.29,3.18,59
39,Soft Drinks,groceries,,1.99,17.48,4.75,53
40,Strawberry,groceries,,3.99,1.12,3.08,46
41,Tissue Paper Box,groceries,,2.49,13.28,2.69,86
42,Water,groceries,,0.99,14.92,4.96,53
43,Decoration Swing,home-decoration,,59.99,10.41,3.16,47
44,Family Tree Photo Frame,home-decoration,,29.99,14.87,4.53,77
45,House Showpiece Plant,home-decoration,,39.99,7.46,4.67,28
46,Plant Pot,home-decoration,,14.99,6.84,3.01,59
47,Table Lamp,home-decoration,,49.99,7.09,3.55,9
48,Bamboo Spatula,kitchen-accessories,,7.99,2.84,3.27,37
49,Black Aluminium Cup,kitchen-accessories,,5.99,15.65,4.46,75
50,Black Whisk,kitchen-accessories,,9.99,10.24,3.9,73
